mdate,key,author,editor,title,pages,year,volume,journal,number,url,ee,address,booktitle,month,cdrom,publisher,note,crossref,isbn,series,school,chapter,cite
2015-01-08,journalsactaAbolhassanKP99,Ferri Abolhassan|rg Keller 0001|Wolfgang J. Paul,,On the Cost-Effectiveness of PRAMs.,463-487,1999,36,Acta Inf.,6,db/journals/acta/acta36.html#AbolhassanKP99,http://link.springer.de/link/service/journals/00236/bibs/9036006/90360463.htm,,,,,,,,,,,,journalsactaHesselink13
2011-01-11,journalsactaEngelfriet91,Joost Engelfriet,,Branching Processes of Petri Nets.,575-591,1991,28,Acta Inf.,6,db/journals/acta/acta28.html#Engelfriet91,http://dx.doi.org/10.1007/BF01463946,,,,,,,,,,,,journalsactaBozapalidisFR12
2006-11-22,journalsactaAguechLM06,Rafik Aguech|Nabil Lasmar|Hosam M. Mahmoud,,Distances in random digital search trees.,243-264,2006,43,Acta Inf.,4,db/journals/acta/acta43.html#AguechLM06,http://dx.doi.org/10.1007/s00236-006-0019-7,,,,,,,,,,,,journalsactaBlum82
2005-12-14,journalsactaHennessyRY05,Matthew Hennessy|Julian Rathke|Nobuko Yoshida,,safeDpi: a language for controlling mobile code.,227-290,2005,42,Acta Inf.,4-5,db/journals/acta/acta42.html#HennessyRY05,http://dx.doi.org/10.1007/s00236-005-0178-y,,,,,,,,,,,,journalsactaHonkala11
2011-01-11,journalsactaLiuLL82,C. L. Liu|Jane W.-S. Liu|Arthur L. Liestman,,Scheduling with Slack Time.,31-41,1982,17,Acta Inf.,,db/journals/acta/acta17.html#LiuLL82,http://dx.doi.org/10.1007/BF00262974,,,,,,,,,,,,journalsactaKhomenkoKKV06
2011-01-11,journalsactaKemp79,Rainer Kemp,,The Average Number of Registers Needed to Evaluate a Binary Tree Optimally.,363-372,1979,11,Acta Inf.,,db/journals/acta/acta11.html#Kemp79,http://dx.doi.org/10.1007/BF00289094,,,,,,,,,,,,journalsactaBlum82
2011-01-11,journalsactaDeganoMM96,Pierpaolo Degano|Meseguer|Ugo Montanari,,Axiomatizing the Algebra of Net Computations and Processes.,641-667,1996,33,Acta Inf.,7,db/journals/acta/acta33.html#DeganoMM96,http://dx.doi.org/10.1007/BF03036469,,,,,,,,,,,,journalsactaBlum82
2011-01-11,journalsactaBielaB96,Andrzej Biela|Jakub Borowczyk,,RETRPROV| A System that Looks for Axioms.,759-780,1996,33,Acta Inf.,8,db/journals/acta/acta33.html#BielaB96,http://dx.doi.org/10.1007/s002360050069,,,,,,,,,,,,journalsactaMilner96
2003-11-25,journalsactaBurriezaG03,Alfredo Burrieza|n,,modal logics.,71-96,2003,39,Acta Inf.,2,db/journals/acta/acta39.html#BurriezaG03,http://link.springer.de/link/service/journals/00236/bibs/3039002/30390071.htm,,,,,,,,,,,,journalsactaBozapalidisFR12
2008-05-21,journalsactaBozapalidis08,Symeon Bozapalidis,,Picture deformation.,1-31,2008,45,Acta Inf.,1,db/journals/acta/acta45.html#Bozapalidis08,http://dx.doi.org/10.1007/s00236-007-0059-7,,,,,,,,,,,,journalsactaSaxena96
