mdate,key,author,editor,title,pages,year,volume,journal,number,url,ee,address,booktitle,month,cdrom,publisher,note,crossref,isbn,series,school,chapter,cite
2011-01-11,journalsactaSaxena96,Sanjeev Saxena,,Parallel Integer Sorting and Simulation Amongst CRCW Models.,607-619,1996,33,Acta Inf.,7,db/journals/acta/acta33.html#Saxena96,http://dx.doi.org/10.1007/BF03036466,,,,,,,,,,,,journalsactaBlum82
2011-01-11,journalsactaSimon83,Hans-Ulrich Simon,,Pattern Matching in Trees and Nets.,227-248,1983,20,Acta Inf.,,db/journals/acta/acta20.html#Simon83,http://dx.doi.org/10.1007/BF01257084,,,,,,,,,,,,journalsactaHonkala11
2011-01-11,journalsactaGoodmanS83,Nathan Goodman|Oded Shmueli,,NP-complete Problems Simplified on Tree Schemas.,171-178,1983,20,Acta Inf.,,db/journals/acta/acta20.html#GoodmanS83,http://dx.doi.org/10.1007/BF00289414,,,,,,,,,,,,journalsactaBozapalidisFR12
2011-01-11,journalsactaBlum82,Norbert Blum,,On the Power of Chain Rules in Context Free Grammars.,425-433,1982,17,Acta Inf.,,db/journals/acta/acta17.html#Blum82,http://dx.doi.org/10.1007/BF00264161,,,,,,,,,,,,journalsactaKhomenkoKKV06
2013-11-28,journalsactaSchonhage77,nhage,,rpern der Charakteristik 2.,395-398,1977,7,Acta Inf.,,db/journals/acta/acta7.html#Schonhage77,http://dx.doi.org/10.1007/BF00289470,,,,,,,,,,,,journalsactaSimon83
2011-02-16,journalsactaHonkala11,Juha Honkala,,A characterization of rational D0L power series.,19-24,2011,48,Acta Inf.,1,db/journals/acta/acta48.html#Honkala11,http://dx.doi.org/10.1007/s00236-010-0128-1,,,,,,,,,,,,journalsactaMilner96
2011-01-11,journalsactaHuangL87,Chua-Huang Huang|Christian Lengauer,,The Derivation of Systolic Implementations of Programs.,595-632,1987,24,Acta Inf.,6,db/journals/acta/acta24.html#HuangL87,http://dx.doi.org/10.1007/BF00282618,,,,,,,,,,,,journalsactaSimon83
2015-01-08,journalsactaFinkelC87,Alain Finkel|Annie Choquet,,Fifo Nets Without Order Deadlock.,15-36,1988,25,Acta Inf.,1,db/journals/acta/acta25.html#FinkelC87,http://dx.doi.org/10.1007/BF00268843,,,,,,,,,,,,journalsactaMilner96
2011-01-11,journalsactaBiskup78,Joachim Biskup,,On the Complementation Rule for Multivalued Dependencies in Database Relations.,297-305,1978,10,Acta Inf.,,db/journals/acta/acta10.html#Biskup78,http://dx.doi.org/10.1007/BF00264322,,,,,,,,,,,,journalsactaBlum82
2015-07-14,journalsactaBozapalidisFR12,Symeon Bozapalidis|p 0001|George Rahonis,,Equational weighted tree transformations.,29-52,2012,49,Acta Inf.,1,db/journals/acta/acta49.html#BozapalidisFR12,http://dx.doi.org/10.1007/s00236-011-0148-5,,,,,,,,,,,,journalsactaBozapalidisFR12
2006-11-22,journalsactaKhomenkoKKV06,Victor Khomenko|Alex Kondratyev|Maciej Koutny|Walter Vogler,,Merged processes: a new condensed representation of Petri net behaviour.,307-330,2006,43,Acta Inf.,5,db/journals/acta/acta43.html#KhomenkoKKV06,http://dx.doi.org/10.1007/s00236-006-0023-y,,,,,,,,,,,,journalsactaBozapalidisFR12
2013-05-10,journalsactaHesselink13,Wim H. Hesselink,,Verifying a simplification of mutual exclusion by Lycklama-Hadzilacos.,199-228,2013,50,Acta Inf.,3,db/journals/acta/acta50.html#Hesselink13,http://dx.doi.org/10.1007/s00236-013-0178-2,,,,,,,,,,,,journalsactaKhomenkoKKV06
2011-01-11,journalsactaRonse83,Christian Ronse,,A Three-Stage Construction for Multiconnection Networks.,197-206,1983,20,Acta Inf.,,db/journals/acta/acta20.html#Ronse83,http://dx.doi.org/10.1007/BF00289416,,,,,,,,,,,,journalsactaBlum82
2011-01-11,journalsactaCritchlowP91,Carol Critchlow|Prakash Panangaden,,The Expressive Power of Delay Operators in SCCS.,447-452,1991,28,Acta Inf.,5,db/journals/acta/acta28.html#CritchlowP91,http://dx.doi.org/10.1007/BF01178582,,,,,,,,,,,,journalsactaMilner96
2011-01-11,journalsactaMilner96,Robin Milner,,Calculi for Interaction.,707-737,1996,33,Acta Inf.,8,db/journals/acta/acta33.html#Milner96,http://dx.doi.org/10.1007/BF03036472,,,,,,,,,,,,journalsactaHonkala11
2011-01-11,journalsactaDarlington78,John Darlington,,A Synthesis of Several Sorting Algorithms.,1-30,1978,11,Acta Inf.,,db/journals/acta/acta11.html#Darlington78,http://dx.doi.org/10.1007/BF00264597,,,,,,,,,,,,journalsactaBozapalidisFR12
